cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
512M,536870912,erdos_renyi,2000,0.0,B,copy-based,976768,972980,997872,2047.5691259336916,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,0.25,A,pointer-sharing,53,43,56,37735849.056603774,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,0.25,B,copy-based,976844,976239,979476,2047.4098218343972,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,0.5,A,pointer-sharing,48,44,64,41666666.666666664,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,0.5,B,copy-based,1017252,973142,1032469,1966.0811676949272,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,0.75,A,pointer-sharing,48,42,49,41666666.666666664,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,0.75,B,copy-based,989641,984920,1066549,2020.9348642588575,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,1.0,A,pointer-sharing,44,42,52,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,erdos_renyi,2000,1.0,B,copy-based,973939,972612,991943,2053.5166986844147,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.0,A,pointer-sharing,49,49,52,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.0,B,copy-based,972496,970108,991774,2056.563728796828,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.25,A,pointer-sharing,52,45,54,38461538.461538464,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.25,B,copy-based,969120,966739,980880,2063.7279181112763,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.5,A,pointer-sharing,45,44,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.5,B,copy-based,968218,967083,971574,2065.6505043285706,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.75,A,pointer-sharing,45,43,48,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,0.75,B,copy-based,967219,966814,969261,2067.7840282293873,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,1.0,A,pointer-sharing,45,43,50,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
512M,536870912,barabasi_albert,2000,1.0,B,copy-based,966723,965074,982042,2068.844953518226,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/512M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.0,A,pointer-sharing,44,41,52,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.0,B,copy-based,944611,944393,945650,2117.273671384305,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.25,A,pointer-sharing,45,42,57,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.25,B,copy-based,947922,946564,949724,2109.8782389268317,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.5,A,pointer-sharing,44,41,57,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.5,B,copy-based,949099,948021,951206,2107.261729282193,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.75,A,pointer-sharing,45,42,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,0.75,B,copy-based,957178,956879,981160,2089.475520749537,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
