gpu_count,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
4,erdos_renyi,2000,0.5,B,copy-based,942378,940904,954441,2122.2906307235526,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.75,A,pointer-sharing,49,42,49,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.75,B,copy-based,942099,939671,968398,2122.9191411942907,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,1.0,A,pointer-sharing,44,43,53,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,1.0,B,copy-based,944919,940450,959332,2116.5835378482175,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,0.0,A,pointer-sharing,45,43,71,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,0.0,B,copy-based,942404,940441,958733,2122.2320788112106,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,0.25,A,pointer-sharing,45,43,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,0.25,B,copy-based,937706,936409,955631,2132.8646718694345,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,0.5,A,pointer-sharing,45,43,63,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
