cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
32M,33554432,barabasi_albert,100000,1.0,A,pointer-sharing,5663,5658,5998,17658484.90199541,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N100000.stdout.log
32M,33554432,erdos_renyi,50000,0.0,A,pointer-sharing,4355,3267,4853,11481056.25717566,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N50000.stdout.log
32M,33554432,erdos_renyi,50000,0.5,A,pointer-sharing,2534,2516,2836,19731649.56590371,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N50000.stdout.log
32M,33554432,erdos_renyi,50000,1.0,A,pointer-sharing,2694,2514,2703,18559762.43504083,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N50000.stdout.log
32M,33554432,barabasi_albert,50000,0.0,A,pointer-sharing,2026,2020,2389,24679170.779861797,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N50000.stdout.log
32M,33554432,barabasi_albert,50000,0.5,A,pointer-sharing,2822,2454,3077,17717930.545712262,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N50000.stdout.log
32M,33554432,barabasi_albert,50000,1.0,A,pointer-sharing,3817,2815,4113,13099292.638197538,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/32M/runs/rq1_N50000.stdout.log
4M,4194304,erdos_renyi,100000,0.0,A,pointer-sharing,7432,6962,8086,13455328.310010765,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N100000.stdout.log
4M,4194304,erdos_renyi,100000,0.5,A,pointer-sharing,6506,6429,7584,15370427.297878882,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N100000.stdout.log
4M,4194304,erdos_renyi,100000,1.0,A,pointer-sharing,7594,6909,8271,13168290.75585989,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N100000.stdout.log
4M,4194304,barabasi_albert,100000,0.0,A,pointer-sharing,5372,5313,5969,18615040.953090098,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N100000.stdout.log
4M,4194304,barabasi_albert,100000,0.5,A,pointer-sharing,5471,5350,5866,18278194.114421494,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N100000.stdout.log
4M,4194304,barabasi_albert,100000,1.0,A,pointer-sharing,4877,4575,4997,20504408.44781628,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N100000.stdout.log
4M,4194304,erdos_renyi,50000,0.0,A,pointer-sharing,3322,3105,4155,15051173.991571343,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N50000.stdout.log
4M,4194304,erdos_renyi,50000,0.5,A,pointer-sharing,3174,3096,3383,15752993.06868305,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N50000.stdout.log
4M,4194304,erdos_renyi,50000,1.0,A,pointer-sharing,3086,3083,3351,16202203.499675956,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N50000.stdout.log
4M,4194304,barabasi_albert,50000,0.0,A,pointer-sharing,1727,1666,1998,28951939.77996526,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N50000.stdout.log
4M,4194304,barabasi_albert,50000,0.5,A,pointer-sharing,2078,2069,2360,24061597.69008662,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N50000.stdout.log
4M,4194304,barabasi_albert,50000,1.0,A,pointer-sharing,2295,2246,2343,21786492.37472767,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/4M/runs/rq1_N50000.stdout.log
512K,524288,erdos_renyi,100000,0.0,A,pointer-sharing,9384,8088,10514,10656436.487638533,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N100000.stdout.log
